City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Desaguadero,PE,47.17,Clouds,-16.57,-69.04,inteeno hotel
4,Rikitea,PF,80.29,Clouds,-23.12,-134.97,People ThankYou
5,Hilo,US,78.53,Clouds,19.73,-155.09,Hilo Hawaiian Hotel
6,Bluff,NZ,65.8,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
7,Itoman,JP,75.58,Clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
8,Sao Filipe,CV,71.17,Clear,14.9,-24.5,Hotel Xaguate
9,Bolitoc,PH,87.15,Clouds,15.74,119.88,Seasun Beach Resort & Hotel
12,Price,US,40.12,Clear,39.6,-110.81,National 9 - Price River Inn
14,Ponta Do Sol,PT,54.05,Clouds,32.67,-17.1,Hotel do Campo
15,Jamestown,US,32.02,Clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
16,Punta Arenas,CL,41.11,Rain,-53.15,-70.92,Hotel Hain
17,Dangriga,BZ,75.85,Clouds,16.97,-88.23,Chaleanor Hotel
19,Erzin,TR,31.96,Clear,36.96,36.2,Artemis Otel
20,Marienburg,PL,33.57,Clear,54.04,19.03,Hotel Centrum Malbork
21,Vaini,TO,84.36,Clouds,-21.2,-175.2,Keleti Beach Resort
23,Atherton,GB,43.43,Clear,53.52,-2.49,The Mercury Motel
24,Mataura,NZ,65.48,Clouds,-46.19,168.86,Ellie's Villa
26,Hirtshals,DK,38.66,Clouds,57.59,9.96,Montra Skaga Hotel
27,Codrington,AU,76.24,Rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
28,Avarua,CK,84.25,Clouds,-21.21,-159.78,Paradise Inn
29,Bereda,ES,40.57,Clouds,43.27,-7.54,Pazo de Verdes
31,Hofn,IS,34.79,Clear,64.25,-15.21,Hótel Höfn
33,Chuy,UY,60.3,Clear,-33.7,-53.46,Nuevo Hotel Plaza
34,Umm Lajj,SA,64.76,Clear,25.02,37.27,Moon light Furnished Units
35,Kaitangata,NZ,63.84,Clouds,-46.28,169.85,Kaitangata Motor Camp
36,Castro,BR,63.39,Clouds,-24.79,-50.01,CHACARA BAILLY
39,Cascais,PT,54.52,Clouds,38.7,-9.42,Hotel Vila Galé Cascais
40,Georgetown,MY,87.73,Clouds,5.41,100.34,Cititel Penang
41,Emerald,AU,86.14,Clouds,-23.53,148.17,The Irish Village
42,Lebu,CL,57.22,Clear,-37.62,-73.65,Hostal Las Lilas
43,Ushuaia,AR,38.86,Rain,-54.8,-68.3,Albatross Hotel
45,Isangel,VU,85.73,Clouds,-19.55,169.27,Tanna Lodge
46,Sitka,US,42.69,Clouds,57.05,-135.33,Westmark Sitka
48,Kambove,CD,58.62,Clouds,-10.88,26.6,Couvant des soeurs catholiques
49,Rafaela,AR,66.97,Clouds,-31.25,-61.49,Parra Hotel & Suites
50,Dunedin,NZ,65.8,Clouds,-45.87,170.5,Scenic Hotel Southern Cross
52,Lagoa,PT,55.26,Clouds,39.05,-27.98,Casa Das Faias
53,Northam,GB,42.26,Clouds,51.03,-4.22,Durrant House Hotel
54,Tchaourou,BJ,80.08,Clouds,8.89,2.6,SAFIR HOTEL
56,Cape Town,ZA,58.12,Clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
57,Busselton,AU,75.7,Clouds,-33.65,115.33,Observatory Guest House
58,Saldanha,ZA,51.85,Clouds,-33.01,17.94,Blue Bay Lodge
59,Hobart,AU,64.26,Clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
60,Eydhafushi,MV,82.33,Clouds,5.1,73.07,Soneva Fushi
61,Conceicao Do Araguaia,BR,73.22,Clear,-8.26,-49.26,Tarumã Tropical Hotel
62,Padang,ID,78.85,Clouds,-0.95,100.35,Mercure Padang
64,Champerico,GT,80.74,Clear,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
65,North Bend,US,51.93,Clouds,43.41,-124.22,Red Lion Hotel Coos Bay
67,Cidreira,BR,69.75,Clouds,-30.18,-50.21,Hotel Castelo
68,Dicabisagan,PH,82.02,Clouds,17.08,122.42,Nancy Montanes Bernardo
69,New Norfolk,AU,63.9,Clouds,-42.78,147.06,The Shingles Riverside Cottages
70,Hermanus,ZA,51.8,Rain,-34.42,19.23,Misty Waves Boutique Hotel
71,Passo De Camaragibe,BR,78.35,Clouds,-9.24,-35.49,Pousada Divino Milagre
72,Talcahuano,CL,62.28,Clear,-36.72,-73.12,departamento comodo
73,Bac Lieu,VN,84.09,Clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
